project_id,deployment_id,image_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license,bounding_boxes
2007384,06-22-2021 Camera 1 Edge,82299cf0-53f4-4930-9307-08c414886945,07120025.JPG,gs://145625598251_2007384_340_test__main/deployment/2292775/prod/directUpload/82299cf0-53f4-4930-9307-08c414886945.JPG,0,Temple Ambler Field Station,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2021-07-12 20:53:26,1,,,,,,,false,,,CC-BY-NC,
2007384,06-22-2021 Camera 1 Edge,a311c646-5bf2-4ab3-bbfb-378a24369889,07120026.JPG,gs://145625598251_2007384_340_test__main/deployment/2292775/prod/directUpload/a311c646-5bf2-4ab3-bbfb-378a24369889.JPG,0,Temple Ambler Field Station,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2021-07-12 20:53:26,1,,,,,,,false,,,CC-BY-NC,"{""{\""detectionBox\"":[0.831623256,0.000675901771,0.988649726,0.353730679]}""}"
2007384,06-22-2021 Camera 1 Edge,5269b5db-d7f1-4eb6-b887-733493f034a1,07130004.JPG,gs://145625598251_2007384_340_test__main/deployment/2292775/prod/directUpload/5269b5db-d7f1-4eb6-b887-733493f034a1.JPG,0,Temple Ambler Field Station,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2021-07-13 19:04:11,1,,,,,,,false,,,CC-BY-NC,"{""{\""detectionBox\"":[0.467505306,0.000452876091,0.96363163,0.355865449]}""}"
2007384,06-22-2021 Camera 1 Edge,4fb76df8-1926-447c-9a33-d61574a74064,07130005.JPG,gs://145625598251_2007384_340_test__main/deployment/2292775/prod/directUpload/4fb76df8-1926-447c-9a33-d61574a74064.JPG,0,Temple Ambler Field Station,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2021-07-13 19:04:12,1,,,,,,,false,,,CC-BY-NC,"{""{\""detectionBox\"":[0.477075666,0.000462681055,0.964752316,0.357123613]}""}"
2007384,06-22-2021 Camera 1 Edge,94482150-4501-4065-979d-614f8ecc3261,07130006.JPG,gs://145625598251_2007384_340_test__main/deployment/2292775/prod/directUpload/94482150-4501-4065-979d-614f8ecc3261.JPG,0,Temple Ambler Field Station,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2021-07-13 19:04:13,1,,,,,,,false,,,CC-BY-NC,"{""{\""detectionBox\"":[0.469445318,0.000226899981,0.966219366,0.359916866]}""}"
2007384,06-22-2021 Camera 1 Edge,e8c7ab3f-ddf5-4667-bc0c-d9eef068ddaf,07130007.JPG,gs://145625598251_2007384_340_test__main/deployment/2292775/prod/directUpload/e8c7ab3f-ddf5-4667-bc0c-d9eef068ddaf.JPG,0,Temple Ambler Field Station,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2021-07-13 19:04:21,1,,,,,,,false,,,CC-BY-NC,"{""{\""detectionBox\"":[0.388522953,0,0.948862553,0.196165234]}""}"
2007384,06-22-2021 Camera 1 Edge,06bcb23f-b7c1-4276-90c4-a7007c9686f5,07130008.JPG,gs://145625598251_2007384_340_test__main/deployment/2292775/prod/directUpload/06bcb23f-b7c1-4276-90c4-a7007c9686f5.JPG,0,Temple Ambler Field Station,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2021-07-13 19:04:22,1,,,,,,,false,,,CC-BY-NC,"{""{\""detectionBox\"":[0.835748315,0.0520585142,0.964763105,0.138879701]}""}"
2007384,06-22-2021 Camera 1 Edge,d4565c9e-7017-435b-a968-b24c3711c2c0,07130009.JPG,gs://145625598251_2007384_340_test__main/deployment/2292775/prod/directUpload/d4565c9e-7017-435b-a968-b24c3711c2c0.JPG,0,Temple Ambler Field Station,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2021-07-13 19:04:24,1,,,,,,,false,,,CC-BY-NC,"{""{\""detectionBox\"":[0.63204205,0.000318169594,0.965666234,0.319293052]}""}"
2007384,06-22-2021 Camera 1 Edge,666a3768-3445-4c89-9c85-c7c52714b45f,07130010.JPG,gs://145625598251_2007384_340_test__main/deployment/2292775/prod/directUpload/666a3768-3445-4c89-9c85-c7c52714b45f.JPG,0,Temple Ambler Field Station,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2021-07-13 19:04:50,1,,,,,,,false,,,CC-BY-NC,"{""{\""detectionBox\"":[0.633132398,0,0.963676095,0.538482428]}""}"
2007384,06-22-2021 Camera 1 Edge,283b34b7-5ad0-4cba-951b-7d5ef1df1262,07130011.JPG,gs://145625598251_2007384_340_test__main/deployment/2292775/prod/directUpload/283b34b7-5ad0-4cba-951b-7d5ef1df1262.JPG,0,Temple Ambler Field Station,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2021-07-13 19:04:51,1,,,,,,,false,,,CC-BY-NC,"{""{\""detectionBox\"":[0.640378654,0,0.963717818,0.539892316]}""}"
2007384,06-22-2021 Camera 1 Edge,16ad78ad-6fc2-4346-9415-9e3e9d4e2b9b,07130012.JPG,gs://145625598251_2007384_340_test__main/deployment/2292775/prod/directUpload/16ad78ad-6fc2-4346-9415-9e3e9d4e2b9b.JPG,0,Temple Ambler Field Station,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2021-07-13 19:04:53,1,,,,,,,false,,,CC-BY-NC,
2007384,06-22-2021 Camera 1 Edge,abf13606-7766-43bf-8df8-0059a9e728df,07130013.JPG,gs://145625598251_2007384_340_test__main/deployment/2292775/prod/directUpload/abf13606-7766-43bf-8df8-0059a9e728df.JPG,0,Temple Ambler Field Station,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2021-07-13 19:05:04,1,,,,,,,false,,,CC-BY-NC,"{""{\""detectionBox\"":[0.542748868,0.00205376744,0.961523473,0.978037]}""}"
2007384,06-22-2021 Camera 1 Edge,685c952e-cc26-49bf-a7f3-90a738f41375,07130014.JPG,gs://145625598251_2007384_340_test__main/deployment/2292775/prod/directUpload/685c952e-cc26-49bf-a7f3-90a738f41375.JPG,0,Temple Ambler Field Station,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2021-07-13 19:05:06,1,,,,,,,false,,,CC-BY-NC,"{""{\""detectionBox\"":[0.538357437,0.00327724218,0.961132228,0.974608421]}""}"
